Application ID,Program Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS201104,Business Basics Round 2,GEI Education Pty Ltd,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201106,Business Basics Round 2,Gladstone Training Services,GLADSTONE,GLADSTONE REGIONAL,Strategic marketing services,5000
BBAS201107,Business Basics Round 2,CARISSA AILEEN ALICE RODGERS (Wide Bay Counselling),BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201112,Business Basics Round 2,Aspire Cairns Community Limited,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201114,Business Basics Round 2,"Lionheart Inclusion, Training & Support Services",GLADSTONE,GLADSTONE REGIONAL,Professional business advice,5000
BBAS201116,Business Basics Round 2,Treat Ya Feet,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201117,Business Basics Round 2,Weddings of the Whitsundays Pty Ltd,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201118,Business Basics Round 2,Camilleri Lifting Services Pty Ltd,MIRANI,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201124,Business Basics Round 2,"J.S. Additive Manufacturing, Design and Prototyping",BURDEKIN,ISAAC REGIONAL,Strategic marketing services,5000
BBAS201127,Business Basics Round 2,The Lunney Family Trust T/as Townsville Landscaping Construction & Maintenance Group,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201128,Business Basics Round 2,unreal artificial plants,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201129,Business Basics Round 2,Pamela Kerr,HINCHINBROOK,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201133,Business Basics Round 2,Instagami Australia Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201136,Business Basics Round 2,Forever Country Trading Co,CALLIDE,NORTH BURNETT REGIONAL,Website build/upgrades,5000
BBAS201137,Business Basics Round 2,Kada renovations,WHITSUNDAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201140,Business Basics Round 2,Kakadu Investments Company P/L Trading as Australian Trading Mentor,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
