Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS103067,Business Basics Round 1,The Trustee for D&J FAMILY TRUST,STRETTON,BRISBANE CITY,Website build/upgrades,5000
BBAS103070,Business Basics Round 1,The trustee for The Quadrant Trust,NOOSA,NOOSA SHIRE,Strategic marketing services,5000
BBAS103077,Business Basics Round 1,Martini Mondays,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS103080,Business Basics Round 1,HK Powell enterprises Pty Ltd ATF The Powell Whanau Trust,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS103083,Business Basics Round 1,MySkinSpa Pty Ltd trading as Prologic Skincare Australia,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS103085,Business Basics Round 1,Stanbourne Pty Ltd t/as Systems2Grow to be registered,BROADWATER,GOLD COAST CITY,Training and coaching,5000
BBAS103087,Business Basics Round 1,Naturecare Chinese Medicine Clinic,MOUNT OMMANEY,BRISBANE CITY,Website build/upgrades,5000
BBAS103094,Business Basics Round 1,Thomas Laird Story Pty. Ltd. trading as Story Exercise Rehabilitation,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS103098,Business Basics Round 1,The Pushworth Group,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS103100,Business Basics Round 1,LBS Apparel,JORDAN,IPSWICH CITY,Website build/upgrades,5000
BBAS103101,Business Basics Round 1,The Saviour Group,BUNDAMBA,IPSWICH CITY,Professional business advice,5000
BBAS103104,Business Basics Round 1,Life Legal Family Dispute Services,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS103107,Business Basics Round 1,THE TRUSTEE FOR THE BARRINGTON FAMILY DISCRETIONARY TRUST TRADING AS DEETO,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS103108,Business Basics Round 1,Birth Magic,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS103111,Business Basics Round 1,Balance Business Bookkeeping Pty Ltd,CHATSWORTH,BRISBANE CITY,Website build/upgrades,5000
BBAS103112,Business Basics Round 1,Anthony Labrum TA Zebra House,BURLEIGH,GOLD COAST CITY,Strategic marketing services,5000
BBAS103113,Business Basics Round 1,Logic HQ Pty Ltd,MILLER,BRISBANE CITY,Training and coaching,5000
BBAS103116,Business Basics Round 1,PUP TOPIA PTY LTD,TOOHEY,BRISBANE CITY,Strategic marketing services,5000
BBAS103118,Business Basics Round 1,Bruce Molloy Consulting,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS103119,Business Basics Round 1,Collective Lending Pty Ltd,SURFERS PARADISE,GOLD COAST CITY,Website build/upgrades,5000
BBAS103121,Business Basics Round 1,Coastal Babysitters,MUDGEERABA,GOLD COAST CITY,Strategic marketing services,5000
BBAS103122,Business Basics Round 1,Antree Pty Ltd ATF The Ajar Family Trust T/As Planet Arcades Kawana,KAWANA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS103123,Business Basics Round 1,Dream Theme Parties T/A Create Family Happiness,REDCLIFFE,MORETON BAY REGIONAL,Training and coaching,5000
BBAS103130,Business Basics Round 1,GC Medical Training,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS103134,Business Basics Round 1,Bluemont Legal,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS103135,Business Basics Round 1,HAIGSLEA RESIDENTIAL LIMITED,BUNDAMBA,IPSWICH CITY,Training and coaching,5000
BBAS103136,Business Basics Round 1,Reverse Mate Pty Ltd,REDCLIFFE,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS103140,Business Basics Round 1,Venture (Aaron Davis and Associates trading as),SURFERS PARADISE,GOLD COAST CITY,Website build/upgrades,5000
BBAS103143,Business Basics Round 1,Blue Platypus,SURFERS PARADISE,GOLD COAST CITY,Training and coaching,5000
BBAS103145,Business Basics Round 1,The Cub Cave,MOUNT OMMANEY,BRISBANE CITY,Strategic marketing services,5000
BBAS103149,Business Basics Round 1,Strong Advice Pty Ltd,STAFFORD,BRISBANE CITY,Training and coaching,5000
BBAS103150,Business Basics Round 1,GABRIELLE BEAUFILS t/a GABRIELLE AND CO SKIN BROW MAKEUP,BURLEIGH,GOLD COAST CITY,Website build/upgrades,5000
